CustomerID;Title;FirstName;MiddleName;LastName;City;StateProvinceName;CountryRegionName;BirthDate;Education;Occupation;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;LastUpdated;BikeBuyer;AvgMonthSpend;BikeBuyerText
21173;NULL;Chad;C;Yuan;Wollongong;New South Wales;Australia;13/11/1987;Bachelors;Clerical;0;M;1;3;0;1;81916;6/03/2017;1;50.97;YES
13249;NULL;Ryan;NULL;Perry;Shawnee;British Columbia;Canada;21/07/1972;Partial College;Clerical;0;M;1;2;1;2;81076;6/03/2017;1;53.11;YES
29350;NULL;Julia;NULL;Thompson;West Covina;California;United States;9/11/1985;Bachelors;Clerical;1;S;0;3;0;0;86387;6/03/2017;1;54.08;YES
13503;NULL;Theodore;NULL;Gomez;Liverpool;England;United Kingdom;18/10/1977;Partial College;Skilled Manual;0;M;1;2;1;2;61481;6/03/2017;1;56.93;YES
22803;NULL;Marshall;J;Shan;Werne;Nordrhein-Westfalen;Germany;5/02/1975;Partial College;Skilled Manual;0;S;1;1;0;0;51804;6/03/2017;1;55.41;YES
22092;NULL;Andrea;NULL;Young;Tacoma;Washington;United States;23/02/1975;High School;Skilled Manual;1;M;1;2;2;2;61944;6/03/2017;1;49.31;YES
11229;NULL;Adrian;C;Stewart;Redwood City;California;United States;3/12/1971;Partial College;Manual;0;S;1;1;0;0;34919;6/03/2017;0;56.01;NO
24179;NULL;Robyn;R;Blanco;Lavender Bay;New South Wales;Australia;7/03/1997;Partial College;Skilled Manual;1;M;0;1;0;0;61832;6/03/2017;1;49.29;YES
12127;NULL;Grace;NULL;Davis;Dunkerque;Nord;France;14/12/1976;Partial College;Clerical;1;M;1;0;0;2;83834;6/03/2017;1;50.05;YES
19903;NULL;Marcus;N;Nelson;Metz;Moselle;France;4/12/1976;High School;Manual;0;S;0;1;0;0;26880;6/03/2017;0;54.15;NO
25924;NULL;Hannah;NULL;Robinson;Redwood City;California;United States;20/11/1998;Partial College;Clerical;1;S;0;1;0;0;77258;6/03/2017;0;54.02;NO
23033;NULL;Alex;J;Turner;Lakewood;California;United States;21/04/1981;Bachelors;Management;0;M;1;3;0;0;102698;6/03/2017;0;58.29;NO
20029;NULL;Jan;M;Evans;Los Angeles;California;United States;24/10/1984;Bachelors;Management;1;M;1;1;1;2;108198;6/03/2017;1;52.66;YES
22031;NULL;Jorge;NULL;Cai;Wollongong;New South Wales;Australia;12/08/1960;Bachelors;Professional;0;M;1;2;0;2;133762;6/03/2017;0;52.5;NO
23770;NULL;Jamie;NULL;Carlson;Maidenhead;England;United Kingdom;12/05/1991;Partial High School;Manual;0;S;0;1;0;0;30526;7/03/2017;0;49.61;NO
23737;NULL;Elena;NULL;Velez Amezaga;Beverly Hills;California;United States;14/03/1971;Partial College;Skilled Manual;1;M;1;2;0;2;56353;6/03/2017;1;49.04;YES
17127;NULL;Makayla;A;Gray;Puyallup;Washington;United States;2/06/1965;High School;Clerical;1;S;1;3;1;1;79019;6/03/2017;1;50.48;YES
28130;NULL;Joshua;M;Taylor;Langley;British Columbia;Canada;2/02/1993;Partial College;Skilled Manual;0;S;0;2;0;0;55387;6/03/2017;1;51;YES
28455;NULL;Raymond;E;Sara;Darmstadt;Hessen;Germany;6/06/1981;Bachelors;Management;0;M;1;2;0;2;113276;6/03/2017;0;58.69;NO
20161;NULL;Albert;G;Sanz;Orly;Val de Marne;France;20/06/1963;Partial College;Management;0;S;1;1;0;1;109259;6/03/2017;0;52.3;NO
21325;NULL;Angela;NULL;Hayes;El Cajon;California;United States;10/07/1980;High School;Clerical;1;M;1;0;0;2;83845;6/03/2017;0;50.38;NO
12128;NULL;Kristy;E;Munoz;Berlin;Hessen;Germany;16/12/1976;High School;Skilled Manual;1;M;1;0;2;2;59527;6/03/2017;1;53.22;YES
23679;NULL;Jacob;G;Harris;Oak Bay;British Columbia;Canada;5/11/1961;Bachelors;Management;0;S;1;1;0;1;108360;6/03/2017;0;51.88;NO
